sim,seed,dist_size,k,n_rep,naive_mean,jackknife_mean,bootstrap_mean,naive_t_test,bootstrap_t_test
2,1,500,56,50,0.00892834510771221,0.00435960767474885,0.006882584918826144,"Ttest_relResult(statistic=6.268962787680752, pvalue=8.997722899910624e-08)","Ttest_relResult(statistic=5.225997570223404, pvalue=3.548123580384466e-06)"
2,1,500,56,100,0.007899092161173547,0.0023179558661807183,0.004963158206300584,"Ttest_relResult(statistic=10.589033317670888, pvalue=5.69750530295684e-18)","Ttest_relResult(statistic=7.56702349365358, pvalue=2.0062014105537757e-11)"
2,1,500,56,200,0.011609429180940918,0.006157871254321848,0.008479457103587433,"Ttest_relResult(statistic=13.419034507727467, pvalue=1.1600967233042692e-29)","Ttest_relResult(statistic=8.417597157833624, pvalue=7.494154691126004e-15)"
1,1,1000,7,10,0.04808511405325137,-0.009191208205184464,0.01843554268953592,"Ttest_relResult(statistic=14.827344620699364, pvalue=1.247379247582658e-07)","Ttest_relResult(statistic=10.09970195846047, pvalue=3.294427754148645e-06)"
1,1,1000,7,50,0.048653819319394206,-0.0006056618656865642,0.02152977980112089,"Ttest_relResult(statistic=28.328528118499086, pvalue=4.866187282712739e-32)","Ttest_relResult(statistic=16.350824991560064, pvalue=1.7592687206844478e-21)"
1,1,1000,7,100,0.050967759772209915,0.0026077435581210806,0.024581437154280517,"Ttest_relResult(statistic=40.783050374118844, pvalue=1.044328840952166e-63)","Ttest_relResult(statistic=24.115809755331092, pvalue=3.1124223477720305e-43)"
1,1,1000,7,200,0.04972649640192965,0.0029491938101776057,0.023700351791229063,"Ttest_relResult(statistic=57.46758199144781, pvalue=7.028374590779895e-126)","Ttest_relResult(statistic=33.21098997968041, pvalue=4.17528627181994e-83)"
2,1,1000,7,10,0.06538831051544622,0.005809344398328942,0.03532739254413769,"Ttest_relResult(statistic=15.20512919335272, pvalue=1.0025175663595925e-07)","Ttest_relResult(statistic=10.183046354093024, pvalue=3.0761689910405963e-06)"
2,1,1000,7,50,0.06588114281019393,0.014462189022027193,0.037758995812914316,"Ttest_relResult(statistic=29.19226330899262, pvalue=1.2108822360994443e-32)","Ttest_relResult(statistic=16.714405325466103, pvalue=7.032210386140269e-22)"
2,1,1000,7,100,0.06822039300138404,0.017717104889839047,0.04074782776450426,"Ttest_relResult(statistic=42.009673100831954, pvalue=6.51129556469139e-65)","Ttest_relResult(statistic=24.69788476850935, pvalue=4.096211058521555e-44)"
2,1,1000,7,200,0.06696037820778203,0.018048173409884533,0.039797433704083576,"Ttest_relResult(statistic=59.29114962259765, pvalue=1.9737431245480195e-128)","Ttest_relResult(statistic=33.88525874271436, pvalue=1.3910598205982304e-84)"
1,1,1000,14,10,0.017754155621696844,-0.0074188149351175625,0.002911151410088908,"Ttest_relResult(statistic=12.319859716086672, pvalue=6.152229485521219e-07)","Ttest_relResult(statistic=6.424488442367875, pvalue=0.0001217232213656306)"
1,1,1000,14,50,0.02016464549299447,-0.002488921402315836,0.007438992504696495,"Ttest_relResult(statistic=18.993394732739137, pvalue=3.04963314149578e-24)","Ttest_relResult(statistic=11.909108646922189, pvalue=4.469990684454865e-16)"
1,1,1000,14,100,0.02286974223519067,0.00017141194667286974,0.010079342471236685,"Ttest_relResult(statistic=26.976571396398697, pvalue=2.0157554040860336e-47)","Ttest_relResult(statistic=16.587463894161075, pvalue=2.4364409311296458e-30)"
1,1,1000,14,200,0.022774779447860122,-0.00026028241344428215,0.009585277413742814,"Ttest_relResult(statistic=40.16798935457871, pvalue=2.0651585972363954e-97)","Ttest_relResult(statistic=23.980769896527004, pvalue=1.3109651674152402e-60)"
2,1,1000,14,10,0.02824601389521949,0.002358590584427167,0.013357635146414115,"Ttest_relResult(statistic=12.570787138372715, pvalue=5.177980351437288e-07)","Ttest_relResult(statistic=6.651146266933433, pvalue=9.36155827229945e-05)"
2,1,1000,14,50,0.030624368257283388,0.007280915618647491,0.017480032052000376,"Ttest_relResult(statistic=19.394280218538892, pvalue=1.2329153223766527e-24)","Ttest_relResult(statistic=11.845710147070433, pvalue=5.434756904912409e-16)"
2,1,1000,14,100,0.03339298438226129,0.010004267230135769,0.02025506952813374,"Ttest_relResult(statistic=27.54191743770185, pvalue=3.284899804814201e-48)","Ttest_relResult(statistic=16.734639977884367, pvalue=1.2759044246281667e-30)"
2,1,1000,14,200,0.03331725046905695,0.00958563094659808,0.019777278375547446,"Ttest_relResult(statistic=41.00141445542653, pvalue=5.376692500140924e-99)","Ttest_relResult(statistic=24.17349437505054, pvalue=3.996852730812351e-61)"
1,1,1000,28,10,0.019220315646565844,0.009276945088921934,0.013065950402805292,"Ttest_relResult(statistic=7.6034718456142585, pvalue=3.314694047092773e-05)","Ttest_relResult(statistic=4.017541805796079, pvalue=0.0030292556676078937)"
1,1,1000,28,50,0.01326084700759913,0.0007483359945799439,0.006030070580754535,"Ttest_relResult(statistic=13.665863999908261, pvalue=2.4405449744503474e-18)","Ttest_relResult(statistic=7.7690481228845325, pvalue=4.314902796597563e-10)"
1,1,1000,28,100,0.012057918940325683,-0.0003346410214203427,0.00495923312639213,"Ttest_relResult(statistic=21.366219144707472, pvalue=7.348633456094595e-39)","Ttest_relResult(statistic=12.012080528265255, pvalue=4.8344970956994345e-21)"
1,1,1000,28,200,0.010502723049820093,-0.002015694030422774,0.003157215967732704,"Ttest_relResult(statistic=31.524605275733787, pvalue=2.5618032433983486e-79)","Ttest_relResult(statistic=17.894390560812624, pvalue=2.599577522545607e-43)"
2,1,1000,28,10,0.025641873180134812,0.015485291009609737,0.019319365819441842,"Ttest_relResult(statistic=7.717097363628719, pvalue=2.9477385910843086e-05)","Ttest_relResult(statistic=4.298624128614156, pvalue=0.001994672819334255)"
2,1,1000,28,50,0.019612804626216507,0.006873652426608765,0.012230591195363396,"Ttest_relResult(statistic=13.839876586637363, pvalue=1.4878364767988633e-18)","Ttest_relResult(statistic=7.704668736866876, pvalue=5.418262341112569e-10)"
2,1,1000,28,100,0.018400992748344787,0.005787056492853397,0.011134545021716626,"Ttest_relResult(statistic=21.633738664502538, pvalue=2.6586525517175935e-39)","Ttest_relResult(statistic=11.95140272691062, pvalue=6.517606462142045e-21)"
2,1,1000,28,200,0.016831391873941635,0.004090797662109556,0.009333525378549878,"Ttest_relResult(statistic=31.89964886626058, pvalue=3.584647867389313e-80)","Ttest_relResult(statistic=17.820463648416123, pvalue=4.324012739188603e-43)"
1,1,1000,56,10,-0.006708996608920164,-0.012531989308025215,-0.010518693356672304,"Ttest_relResult(statistic=5.182176844266222, pvalue=0.0005776637315393668)","Ttest_relResult(statistic=2.533121251537895, pvalue=0.03207070776978968)"
1,1,1000,56,50,0.002131888334258267,-0.0038249093269027337,-0.0012452721483975793,"Ttest_relResult(statistic=9.858837402433545, pvalue=3.2203923527544393e-13)","Ttest_relResult(statistic=5.841852120370741, pvalue=4.0977453666975487e-07)"
